"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7341","test_change_password_incorrect_current","","Tue Sep 17 00:54:35 MSK 2024","passed","Tue Sep 17 00:54:43 MSK 2024","","test_main","",""
"","5914","test_login","","Tue Sep 17 00:54:29 MSK 2024","passed","Tue Sep 17 00:54:35 MSK 2024","","test_main","",""
"","8639","test_invalid_login","","Tue Sep 17 00:54:21 MSK 2024","passed","Tue Sep 17 00:54:29 MSK 2024","","test_main","",""
"","10507","test_change_password","","Tue Sep 17 00:54:48 MSK 2024","passed","Tue Sep 17 00:54:59 MSK 2024","","test_main","",""
"","5935","test_change_password_mismatch","","Tue Sep 17 00:54:43 MSK 2024","passed","Tue Sep 17 00:54:48 MSK 2024","","test_main","",""
